ALB,99.86,97.00,96.00
DZA,98.00,88.14,48.00
AGO,90.00,85.00,13.77
ARG,98.00,95.00,95.00
ARM,100.00,99.00,95.00
AUS,99.40,99.50,99.20
AUT,99.00,99.00,99.00
AZE,100.00,95.00,48.14
BHS,99.00,99.00,99.00
BHR,100.00,100.00,100.00
BGD,99.47,94.23,17.00
BRB,99.60,93.70,95.00
BLR,99.90,99.00,67.50
BEL,100.00,100.00,100.00
BLZ,95.00,85.28,80.45
BEN,98.00,63.36,39.72
BTN,98.00,87.97,55.00
BOL,98.36,74.48,80.00
BIH,100.00,95.00,0.00
BWA,97.00,85.00,74.59
BRA,95.83,95.00,93.00
BRN,99.29,90.00,83.91
BGR,99.99,100.00,99.00
BFA,93.00,65.00,0.00
BDI,50.00,11.00,25.00
CPV,99.34,70.74,0.00
KHM,99.00,90.00,93.00
CMR,84.76,74.99,75.00
CAN,99.40,99.00,99.00
CAF,60.00,23.00,0.00
TCD,86.00,29.40,25.92
CHL,96.00,95.00,88.00
CHN,99.50,98.00,99.00
COL,100.00,95.00,79.01
COG,75.00,28.36,21.50
COD,50.00,52.00,7.20
CRI,97.30,95.00,90.00
CIV,95.70,94.44,52.45
HRV,100.00,99.00,98.50
CYP,99.98,99.00,95.00
CZE,99.80,95.00,99.00
DNK,100.00,99.50,99.50
DOM,99.52,99.00,92.00
ECU,97.08,95.00,72.67
EGY,99.80,99.00,52.47
SLV,97.00,95.00,55.31
EST,100.00,100.00,99.00
ETH,85.00,85.00,10.00
FJI,96.00,96.00,98.00
FIN,99.99,99.00,100.00
FRA,99.00,99.60,98.70
GAB,98.00,67.57,35.00
GMB,96.00,86.00,14.93
GEO,99.98,99.98,85.00
DEU,99.00,95.00,98.00
GHA,91.00,85.00,61.16
GRC,99.90,99.00,99.00
GTM,100.00,95.00,78.32
GIN,99.90,56.00,0.00
GNB,90.50,69.00,34.00
GUY,97.30,39.65,31.89
HTI,60.00,87.86,0.00
HND,92.44,80.10,71.44
HKG,100.00,99.00,95.00
HUN,99.00,96.50,99.20
ISL,99.00,99.00,99.00
IND,97.00,90.00,97.00
IDN,98.60,92.00,85.00
IRN,96.50,90.00,74.41
IRQ,99.92,92.01,10.19
IRL,99.00,99.00,98.00
ISR,99.00,99.00,99.00
ITA,100.00,100.00,99.00
JAM,100.00,95.00,70.64
JPN,99.90,100.00,99.00
JOR,99.00,99.00,99.00
KAZ,96.60,92.71,75.00
KEN,95.30,88.00,60.95
KOR,99.90,99.00,100.00
KWT,100.00,99.00,100.00
KGZ,99.05,75.00,50.00
LAO,98.00,83.69,9.00
LVA,99.00,95.00,97.00
LBN,99.30,99.00,95.00
LSO,98.63,99.97,74.31
LBR,76.00,63.00,48.94
LBY,78.08,78.08,63.36
LTU,100.00,97.00,99.00
LUX,99.00,99.20,97.00
MKD,99.70,100.00,99.50
MDG,79.02,66.37,43.84
MWI,82.00,24.33,16.00
MYS,96.20,95.00,93.00
MLI,100.00,66.00,31.00
MLT,100.00,99.00,99.00
MRT,95.00,42.07,0.00
MUS,99.00,96.00,90.00
MEX,93.00,95.00,85.00
MDA,100.00,99.50,98.00
MNG,99.00,95.00,27.30
MNE,99.50,97.00,90.00
MAR,99.60,98.00,97.00
MOZ,41.00,50.23,6.00
MMR,90.45,90.00,54.00
NAM,100.00,75.00,63.19
NPL,92.47,72.69,32.14
NLD,100.00,99.50,99.50
NZL,98.00,99.00,98.00
NIC,91.00,85.00,70.91
NER,92.00,24.00,5.00
NGA,89.79,75.95,41.00
NOR,99.80,99.00,99.00
OMN,99.10,99.00,98.70
PAK,88.00,78.50,54.67
PAN,96.00,95.00,77.21
PNG,89.00,74.86,70.73
PRY,98.24,95.00,73.56
PER,82.89,79.59,74.00
PHL,95.00,93.00,80.00
POL,100.00,100.00,99.80
PRT,99.88,95.00,99.00
QAT,100.00,100.00,95.00
ROU,99.90,99.90,96.90
RUS,91.00,95.00,85.00
RWA,99.92,95.00,99.00
LCA,81.00,91.31,35.00
WSM,97.00,95.00,65.43
SAU,99.42,99.00,94.00
SEN,97.70,92.20,62.00
SRB,99.76,99.00,90.00
SLE,90.00,42.82,45.63
SGP,100.00,100.00,100.00
SVK,100.00,95.00,96.00
SVN,99.80,99.00,99.00
SLB,94.00,25.00,10.37
ZAF,99.97,99.50,90.00
ESP,99.80,99.60,100.00
LKA,99.72,90.00,91.00
SDN,89.70,47.00,34.00
SWZ,54.00,56.20,30.00
SWE,100.00,99.00,99.00
CHE,100.00,99.00,99.90
TJK,90.00,90.00,80.00
TZA,95.00,61.25,28.00
THA,98.00,98.00,98.00
TLS,96.50,95.00,24.88
TGO,92.00,58.51,7.20
TON,98.00,95.00,80.37
TTO,100.00,95.00,95.00
TUN,99.00,97.00,90.00
TUR,99.84,98.00,95.00
UGA,93.00,80.58,17.00
UKR,99.90,90.00,57.50
ARE,100.00,100.00,96.00
GBR,99.80,99.48,99.00
USA,99.90,99.00,98.00
URY,100.00,95.00,88.00
UZB,98.40,75.00,43.00
VUT,98.00,83.19,39.59
VEN,96.00,95.00,67.79
VNM,99.50,90.59,95.00
YEM,95.00,95.00,0.00
ZMB,93.00,40.00,40.00
ZWE,90.09,78.20,34.72
